"category","estimate","std.error","p.value","term","panel"
"Cell Phones",0.240898675354872,0.0748074328775979,0.00134401696379097,"product_is_nudged","Nudge by Category (EMM)"
"Cheese",0.356448939369745,0.0848451606606896,3.02296386224595e-05,"product_is_nudged","Nudge by Category (EMM)"
"Chocolate",0.467168693779604,0.119864261908725,0.000107185029706627,"product_is_nudged","Nudge by Category (EMM)"
"Digital Cameras",0.397140076937504,0.097838664063676,5.51980349584937e-05,"product_is_nudged","Nudge by Category (EMM)"
"Earbud Headphones",0.228493884840872,0.0627173975980284,0.000290506869958217,"product_is_nudged","Nudge by Category (EMM)"
"Flashes",0.266366875454984,0.122957935636155,0.0306457612404848,"product_is_nudged","Nudge by Category (EMM)"
"Lenses",-0.0139032158432338,0.079062474450066,0.860465263736031,"product_is_nudged","Nudge by Category (EMM)"
"Mirrors",0.288301239031549,0.100253075623111,0.00416165109163454,"product_is_nudged","Nudge by Category (EMM)"
"On-Ear Headphones",0.0474909652387173,0.112022849158052,0.67174855633509,"product_is_nudged","Nudge by Category (EMM)"
"Over-Ear Headphones",0.204059633596136,0.086845824717794,0.0190851910613231,"product_is_nudged","Nudge by Category (EMM)"
"Speakers",0.197052604624599,0.0623436899489559,0.00164609631153667,"product_is_nudged","Nudge by Category (EMM)"
"Televisions",-0.0222800346186299,0.112430040545715,0.842975028743018,"product_is_nudged","Nudge by Category (EMM)"
"Toothpaste",0.239625960303981,0.11381500370591,0.0356361726655545,"product_is_nudged","Nudge by Category (EMM)"
"Video Projectors",0.544575772179122,0.0707382648335423,5.08350273224515e-14,"product_is_nudged","Nudge by Category (EMM)"
